mp3tagArtist;mp3tagGenre;mainArtist;mainId;downloaded
For My Pain...;Gothic Metal;For My Pain;309867739;2026-02-06 09:25:41
For You.Earth;Deathcore;;0;
Fozzy;Heavy Metal;Fozzy;5648447;2026-02-06 09:25:45
Freeze the Fall;Alternative;Freeze the Fall;1724866538;2026-02-06 09:25:50
Freternia;Power Metal;Freternia;849321982;2026-02-06 09:25:54
From First to Last;Alternative;From First to Last;28673455;2026-02-06 09:25:59
Fuel;Alternative;Fuel;510215;2026-02-06 09:26:03
Full House Brew Crew;Groove Metal;Full House Brew Crew;486640196;2026-02-06 09:26:07
Funeral;Doom Metal;Funeral;208973684;2026-02-06 09:26:11
Future Palace;Alternative;Future Palace;1457925016;2026-02-06 09:26:16
Galactic Empire;Progressive Metal;Galactic Empire;1068343185;2026-02-06 09:26:20
Geezer Butler;Metal;Geezer Butler;26514798;2026-02-06 09:26:24
Geezer Butler;Metal;Geezer Butler;59745912;2026-02-06 09:26:28
Gemini Syndrome;Nu Metal;Gemini Syndrome;416625995;2026-02-06 09:26:33
Genus Ordinis Dei;Symphonic Metal;Genus Ordinis Dei;1065835156;2026-02-06 09:26:37
Geoff Castellucci;Country;Geoff Castellucci;1497429001;2026-02-06 09:26:42
George Lynch;Hard Rock;;0;
Ghost;Heavy Metal;Ghost;600730426;2026-02-06 09:26:47
Giant Walker;Alternative;Giant Walker;1582883040;2026-02-06 09:26:51
Glamour of the Kill;Metalcore;Glamour of the Kill;280779736;2026-02-06 09:26:55
Glass Beams;Rock;Glass Beams;1558093934;2026-02-06 09:26:59
Godsmack;Metal;Godsmack;250737;2026-02-06 09:27:04
Gojira;Progressive Metal;Gojira;65158676;2026-02-06 09:27:08
Goldfinger;Punk Rock;Goldfinger;2089079;2026-02-06 09:27:13
Gorky Park;Hard Rock;;0;
Grave Noise;Thrash Metal;Grave Noise;1373297908;2026-02-06 09:27:17
Graveworm;Symphonic Black Metal;Graveworm;15866087;2026-02-06 09:27:21
Green Day;Punk Rock;Green Day;954266;2026-02-06 09:27:26
Green Lung;Stoner Metal;Green Lung;1244071662;2026-02-06 09:27:31
Grey Daze;Grunge;Grey Daze;4916893;2026-02-06 09:27:35
Gridiron;Rap Metal;Gridiron;1535465007;2026-02-06 09:27:39
Guano Apes;Alternative;Guano Apes;558193;2026-02-06 09:27:44
Guns n' Roses;Hard Rock;Guns n Roses;106621;2026-02-06 09:27:48
H-Blockx;Rap Metal;H-Blockx;18262718;2026-02-06 09:27:52
Hacktivist;Rap Metal;Hacktivist;558489997;2026-02-06 09:27:57
Haken;Progressive Metal;Haken;363702196;2026-02-06 09:28:01
Halestorm;Hard Rock;Halestorm;3969358;2026-02-06 09:28:06
HammerFall;Power Metal;HammerFall;6475279;2026-02-06 09:28:11
Hammers of Misfortune;Progressive Metal;Hammers of Misfortune;80907270;2026-02-06 09:28:15
Hand of Kalliach;Melodic Death Metal;Hand of Kalliach;1541741631;2026-02-06 09:28:19
Hatebreed;Metalcore;Hatebreed;90291;2026-02-06 09:28:23
He Is Legend;Metal;He Is Legend;7251914;2026-02-06 09:28:28
Heart of a Coward;Metalcore;Heart of a Coward;323831786;2026-02-06 09:28:32
Heaven & Hell;Heavy Metal;Heaven & Hell;262114058;2026-02-06 09:28:36
Heaven Shall Burn;Metalcore;Heaven Shall Burn;107403664;2026-02-06 09:28:41
(Hed) P.E.;Rap Metal;Hed PE;1487510;2026-02-06 09:28:45
Hedras;Progressive Metal;Hedras;1455211134;2026-02-06 09:28:50
Heljareyga;Folk Metal;Heljareyga;364247794;2026-02-06 09:28:54
Hellyeah;Groove Metal;Hellyeah;215827435;2026-02-06 09:28:59
Herman Rarebell;Hard Rock;Herman Rarebell;68223567;2026-02-06 09:29:03
HIM;Alternative;HIM;4471986;2026-02-06 09:29:08
